X_Coord,Y_Coord,CD_um
31.73,62.6,1.4443
-87.75,58.83,1.4788
-23.12,56.66,1.5205
98.64,28.61,1.5073
19.57,-8.8,1.4895
66.64,-36.02,1.489
-87.2,-34.51,1.5282
16.79,92.72,1.5216
-31.86,31.43,1.514
-37.5,-52.77,1.5278
-82.48,23.96,1.4837
5.07,-53.56,1.4718
22.98,-30.88,1.4585
-34.98,13.35,1.5103
19.7,6.16,1.4478
-19.75,76.6,1.4771
-8.61,60.9,1.4446
-70.39,-28.67,1.5124
-54.5,-70.83,1.469
-68.47,-3.98,1.5085
69.94,5.74,1.5424
-92.91,55.05,1.5346
91.83,-5.98,1.4765
92.08,-59.46,1.5371
-34.79,-89.46,1.493
-33.21,-43.12,1.5196
-98.27,-35.64,1.4744
-40.57,92.87,1.4772
-67.6,67.89,1.515
-54.71,-5.87,1.5438
34.78,30.25,1.4454
21.58,-55.25,1.4902
68.4,41.95,1.4662
-60.08,89.78,1.4939
63.8,95.43,1.4793
-88.93,-91.28,1.4318
6.15,98.43,1.5468
-19.71,19.25,1.5358
4.1,90.97,1.5288
-89.34,76.49,1.5309
-21.93,-34.65,1.4852
53.97,-29.36,1.506
46.42,-69.45,1.5151
11.87,2.27,1.5134
-84.48,18.6,1.4951
-38.07,20.42,1.5181
67.71,-35.52,1.4557
-57.75,58.0,1.488
-21.07,30.63,1.4974
-46.48,-26.76,1.4459
-15.17,6.4,1.4611
37.95,78.27,1.4955
47.19,-6.45,1.4548
-36.8,-38.25,1.4991
9.7,21.85,1.4636
37.76,82.51,1.4757
6.93,-76.25,1.5429
34.55,-54.99,1.4875
9.19,8.25,1.5296
-20.39,-81.43,1.5378
9.71,-58.28,1.5172
55.13,-39.18,1.4917
30.93,86.45,1.4804
27.43,-74.59,1.4887
31.12,33.11,1.531
63.95,-34.74,1.4999
-9.69,-21.73,1.462
-69.41,-72.57,1.5149
-73.42,10.39,1.4875
-62.06,5.28,1.4364
-40.24,63.63,1.4932
-83.39,-86.52,1.4584
-64.98,-78.57,1.47
-72.94,5.42,1.4926
27.33,99.02,1.5147
-39.36,-69.78,1.4907
27.74,-45.4,1.4935
33.7,82.18,1.4847
-99.83,-97.96,1.4686
